SCHOOL,ADDRESS,WEBSITE,START TIME,END TIME
Academy of The Americas High School,"5680 Konkel Street, Detroit, MI 48210",https://www.detroitk12.org/schools/academyoftheamericas,8:00,15:10
Cass Technical High School,"2501 Second Avenue, Detroit, MI 48201",https://casstech.detroitk12.org/about-us,8:00,15:20
Central High School,"2425 Tuxedo Street, Detroit, MI 48206-1222",https://central.detroitk12.org/about-us,8:00,14:55
Cody High School,"18445 Cathedral Street, Detroit, MI 48228-1809",https://cody.detroitk12.org/about-us,8:00,15:20
Communication and Media Arts High School,"19501 Berg Rd, Detroit, MI 48219-1714",https://cma.detroitk12.org/about-us,8:00,14:55
Crockett Midtown High School of Science and Medicine,"571 Mack Avenue, Detroit, MI 48201",https://crockett.detroitk12.org/about-us,8:00,15:20
Davis Aerospace Technical High School at Golightly,"900 Dickerson Avenue, Detroit, MI 48215-2900",https://davisaerospace.detroitk12.org/about-us,8:00,15:20
Denby High School,"12800 Kelly Road, Detroit, MI 48224-1506",https://denby.detroitk12.org/about-us,8:00,15:15
Detroit International Academy for Young Women,"5161 Charles Street, Detroit, MI 48212",https://dia.detroitk12.org/about-us,8:00,15:20
Detroit Lions Academy,"10101 E. Canfield, Detroit, MI 48214",https://detroitlions.detroitk12.org/about-us,8:00,15:05
Detroit School of Arts,"123 Selden, Detroit, MI 48201",https://dsa.detroitk12.org/about-us,8:00,15:20
East English Village Preparatory Academy at Finney,"5020 Cadieux, Detroit, MI 48224",https://eevpa.detroitk12.org/about-us,8:00,15:20
Frederick Douglass Academy for Young Men,"2001 W. Warren, Detroit, MI 48208-2216",https://douglass.detroitk12.org/about-us,8:00,15:20
Henry Ford High School,"20000 Evergreen Road, Detroit, MI 48219-2075",https://ford.detroitk12.org/about-us,8:00,15:20
Martin Luther King Jr. Senior High School,"3200 E. Lafayette Street, Detroit, MI 48207-3812",https://king.detroitk12.org/about-us,8:00,15:20
Mumford High School,"17525 Wyoming Street, Detroit, MI 48221-2414",https://mumford.detroitk12.org/about-us,8:00,15:20
Northwestern High School,"18445 Cathedral Street, Detroit, MI 48228-1809",https://northwestern.detroitk12.org/our-school,8:00,15:20
Osborn High School,"11600 E. 7 Mile Road, Detroit, MI 48205-2112",https://osborn.detroitk12.org/our-school,8:00,14:55
Pershing High School,"18875 Ryan Road, Detroit, MI 48234-1917",https://pershing.detroitk12.org/our-school,8:00,14:55
Renaissance High School,"6565 W. Outer Drive, Detroit, MI 48235",https://renaissance.detroitk12.org/our-school,8:00,15:20
Southeastern High School,"3030 Fairview Street, Detroit, MI 48214-2215",https://southeastern.detroitk12.org/our-school,8:00,15:20
The School at Marygrove,"8425 W. McNichols, Detroit, MI 48221",https://marygrove.detroitk12.org/our-school,9:00,16:00
Western International High School,"1500 Scotten Street, Detroit, MI 48209-2139",https://western.detroitk12.org/our-school,8:00,15:20